uid,progress_bin,n,accuracy,repeat_rate
5190,75-100%,135,0.874074,0.244444
5194,0-25%,71,0.704225,0.056338
5194,25-50%,71,0.633803,0.140845
5194,50-75%,71,0.732394,0.169014
5194,75-100%,71,0.732394,0.183099
5197,0-25%,123,0.98374,0.105691
5197,25-50%,124,0.975806,0.129032
5197,50-75%,124,0.967742,0.096774
5197,75-100%,124,0.975806,0.217742
5202,0-25%,104,0.75,0.211538
5202,25-50%,104,0.682692,0.057692
5202,50-75%,104,0.663462,0.192308
5202,75-100%,105,0.790476,0.190476
5210,0-25%,88,0.681818,0.136364
5210,25-50%,88,0.715909,0.125
5210,50-75%,88,0.875,0.261364
5210,75-100%,89,0.741573,0.213483
5213,0-25%,141,0.702128,0.148936
5213,25-50%,142,0.901408,0.105634
5213,50-75%,141,0.808511,0.134752
5213,75-100%,142,0.753521,0.232394
5217,0-25%,66,0.742424,0.151515
5217,25-50%,66,0.787879,0.181818
5217,50-75%,66,0.833333,0.257576
5217,75-100%,66,0.545455,0.090909
5223,0-25%,85,0.858824,0.082353
5223,25-50%,85,0.847059,0.082353
5223,50-75%,85,0.882353,0.141176
5223,75-100%,85,0.847059,0.129412
5225,0-25%,123,0.926829,0.105691
5225,25-50%,123,0.934959,0.130081
5225,50-75%,123,0.869919,0.154472
5225,75-100%,123,0.943089,0.170732
5230,0-25%,124,0.766129,0.16129
5230,25-50%,124,0.693548,0.048387
5230,50-75%,124,0.645161,0.16129
5230,75-100%,124,0.903226,0.25
5231,0-25%,122,0.631148,0.131148
5231,25-50%,123,0.723577,0.105691
5231,50-75%,122,0.844262,0.204918
5231,75-100%,123,0.845528,0.186992
5232,0-25%,90,0.844444,0.144444
5232,25-50%,90,0.955556,0.122222
5232,50-75%,90,0.988889,0.144444
5232,75-100%,90,0.911111,0.155556
5236,0-25%,91,0.923077,0.087912
5236,25-50%,91,0.967033,0.175824
5236,50-75%,91,0.923077,0.054945
5236,75-100%,91,0.923077,0.142857
5237,0-25%,154,0.850649,0.116883
5237,25-50%,155,0.877419,0.116129
5237,50-75%,155,0.877419,0.03871
5237,75-100%,155,0.735484,0.206452
5247,0-25%,135,0.844444,0.118519
5247,25-50%,135,0.918519,0.103704
5247,50-75%,135,0.777778,0.177778
5247,75-100%,135,0.948148,0.237037
5254,0-25%,98,0.816327,0.122449
5254,25-50%,99,0.888889,0.161616
5254,50-75%,99,0.848485,0.151515
5254,75-100%,99,0.919192,0.20202
5267,0-25%,117,0.589744,0.111111
5267,25-50%,117,0.735043,0.08547
5267,50-75%,117,0.888889,0.179487
5267,75-100%,117,0.880342,0.222222
5270,0-25%,106,0.839623,0.160377
5270,25-50%,106,0.943396,0.132075
5270,50-75%,106,0.896226,0.122642
5270,75-100%,106,0.896226,0.150943
5277,0-25%,135,0.881481,0.133333
5277,25-50%,136,0.977941,0.139706
5277,50-75%,136,0.933824,0.125
5277,75-100%,136,0.977941,0.147059
5280,0-25%,96,0.864583,0.083333
5280,25-50%,97,0.948454,0.061856
5280,50-75%,97,0.948454,0.123711
5280,75-100%,97,0.948454,0.113402
5290,0-25%,82,0.756098,0.097561
5290,25-50%,83,0.819277,0.13253
5290,50-75%,82,0.792683,0.097561
5290,75-100%,83,0.879518,0.240964
5293,0-25%,112,0.669643,0.071429
5293,25-50%,112,0.758929,0.080357
5293,50-75%,112,0.892857,0.151786
5293,75-100%,112,0.732143,0.232143
5295,0-25%,86,0.639535,0.011628
5295,25-50%,87,0.586207,0.137931
5295,50-75%,86,0.755814,0.139535
5295,75-100%,87,0.551724,0.103448
5296,0-25%,69,0.57971,0.101449
5296,25-50%,69,0.666667,0.101449
5296,50-75%,69,0.666667,0.101449
5296,75-100%,69,0.768116,0.231884
5301,0-25%,111,0.765766,0.081081
5301,25-50%,112,0.660714,0.133929
5301,50-75%,111,0.711712,0.108108
5301,75-100%,112,0.75,0.241071
5306,0-25%,65,0.661538,0.092308
5306,25-50%,65,0.430769,0.076923
5306,50-75%,65,0.630769,0.0
5306,75-100%,66,0.818182,0.272727
5307,0-25%,76,0.684211,0.118421
5307,25-50%,77,0.883117,0.051948
5307,50-75%,76,0.907895,0.131579
5307,75-100%,77,0.909091,0.194805
5308,0-25%,66,0.772727,0.181818
5308,25-50%,66,0.666667,0.136364
5308,50-75%,66,0.909091,0.060606
5308,75-100%,67,0.850746,0.164179
5310,0-25%,93,0.946237,0.075269
5310,25-50%,93,0.903226,0.11828
5310,50-75%,93,0.935484,0.053763
5310,75-100%,94,0.765957,0.159574
5312,0-25%,92,0.902174,0.065217
5312,25-50%,92,0.793478,0.065217
5312,50-75%,92,0.880435,0.152174
5312,75-100%,93,0.88172,0.172043
5317,0-25%,94,0.840426,0.085106
5317,25-50%,94,0.946809,0.106383
5317,50-75%,94,0.829787,0.159574
5317,75-100%,94,0.840426,0.148936
5320,0-25%,136,0.683824,0.080882
5320,25-50%,136,0.639706,0.110294
5320,50-75%,136,0.713235,0.191176
5320,75-100%,136,0.595588,0.242647
5328,0-25%,72,0.736111,0.111111
5328,25-50%,72,0.722222,0.083333
5328,50-75%,72,0.736111,0.138889
5328,75-100%,72,0.847222,0.236111
5330,0-25%,64,0.5,0.046875
5330,25-50%,64,0.203125,0.265625
5330,50-75%,64,0.609375,0.03125
5330,75-100%,64,0.578125,0.125
5334,0-25%,118,0.457627,0.135593
5334,25-50%,119,0.613445,0.092437
5334,50-75%,118,0.610169,0.144068
5334,75-100%,119,0.579832,0.285714
5336,0-25%,90,0.822222,0.111111
5336,25-50%,91,0.901099,0.120879
5336,50-75%,91,0.945055,0.142857
5336,75-100%,91,0.934066,0.142857
5341,0-25%,104,0.846154,0.076923
5341,25-50%,105,0.885714,0.07619
5341,50-75%,105,0.828571,0.171429
5341,75-100%,105,0.933333,0.238095
5342,0-25%,89,0.921348,0.11236
5342,25-50%,90,0.955556,0.055556
5342,50-75%,90,0.9,0.188889
5342,75-100%,90,0.988889,0.211111
5344,0-25%,95,0.789474,0.136842
5344,25-50%,96,0.770833,0.052083
5344,50-75%,96,0.791667,0.1875
5344,75-100%,96,0.770833,0.1875
5346,0-25%,99,0.525253,0.090909
5346,25-50%,99,0.353535,0.121212
5346,50-75%,99,0.565657,0.121212
5346,75-100%,99,0.353535,0.111111
5349,0-25%,147,0.904762,0.102041
5349,25-50%,148,0.939189,0.128378
5349,50-75%,148,0.864865,0.054054
5349,75-100%,148,0.878378,0.209459
5351,0-25%,100,0.86,0.1
5351,25-50%,100,0.91,0.13
5351,50-75%,100,0.85,0.05
5351,75-100%,100,0.87,0.26
5352,0-25%,127,0.748031,0.149606
5352,25-50%,128,0.671875,0.132812
5352,50-75%,128,0.710938,0.132812
5352,75-100%,128,0.640625,0.179688
5353,0-25%,196,0.903061,0.091837
5353,25-50%,196,0.903061,0.158163
5353,50-75%,196,0.933673,0.076531
5353,75-100%,197,0.913706,0.22335
5355,0-25%,60,0.55,0.066667
5355,25-50%,61,0.57377,0.114754
5355,50-75%,60,0.733333,0.183333
5355,75-100%,61,0.836066,0.180328
5359,0-25%,86,0.895349,0.093023
5359,25-50%,86,0.883721,0.093023
5359,50-75%,86,0.930233,0.174419
5359,75-100%,86,0.906977,0.151163
5367,0-25%,137,0.642336,0.131387
5367,25-50%,137,0.846715,0.087591
5367,50-75%,137,0.79562,0.116788
5367,75-100%,138,0.753623,0.253623
5368,0-25%,103,0.669903,0.15534
5368,25-50%,104,0.692308,0.096154
5368,50-75%,104,0.769231,0.115385
5368,75-100%,104,0.769231,0.086538
5372,0-25%,62,0.403226,0.096774
5372,25-50%,63,0.460317,0.079365
5372,50-75%,63,0.365079,0.111111
5372,75-100%,63,0.079365,0.253968
5380,0-25%,88,0.920455,0.102273
5380,25-50%,88,0.886364,0.125
5380,50-75%,88,0.818182,0.068182
5380,75-100%,89,0.988764,0.157303
5385,0-25%,87,0.873563,0.091954
5385,25-50%,87,0.931034,0.091954
5385,50-75%,87,0.954023,0.126437
5385,75-100%,87,0.988506,0.091954
5386,0-25%,80,0.8625,0.0625
5386,25-50%,81,1.0,0.17284
5386,50-75%,80,1.0,0.1625
5386,75-100%,81,1.0,0.259259
5391,0-25%,87,0.597701,0.091954
5391,25-50%,88,0.715909,0.068182
5391,50-75%,88,0.772727,0.181818
5391,75-100%,88,0.636364,0.261364
5392,0-25%,113,0.646018,0.141593
5392,25-50%,113,0.59292,0.088496
5392,50-75%,113,0.557522,0.150442
5392,75-100%,113,0.504425,0.230088
5394,0-25%,122,0.885246,0.139344
5394,25-50%,122,0.901639,0.098361
5394,50-75%,122,0.95082,0.147541
5394,75-100%,122,0.918033,0.245902
5395,0-25%,61,0.344262,0.098361
5395,25-50%,62,0.306452,0.16129
5395,50-75%,62,0.419355,0.112903
5395,75-100%,62,0.483871,0.145161
5399,0-25%,140,0.721429,0.121429
5399,25-50%,141,0.744681,0.106383
5399,50-75%,140,0.814286,0.128571
5399,75-100%,141,0.765957,0.219858
5403,0-25%,115,0.921739,0.156522
5403,25-50%,116,0.913793,0.094828
5403,50-75%,116,0.698276,0.137931
5403,75-100%,116,0.474138,0.310345
5407,0-25%,118,0.728814,0.118644
5407,25-50%,119,0.773109,0.12605
5407,50-75%,119,0.815126,0.168067
5407,75-100%,119,0.773109,0.277311
5409,0-25%,144,0.798611,0.145833
5409,25-50%,145,0.862069,0.096552
5409,50-75%,145,0.903448,0.172414
5409,75-100%,145,0.77931,0.227586
5419,0-25%,135,0.511111,0.140741
5419,25-50%,135,0.762963,0.088889
5419,50-75%,135,0.814815,0.185185
5419,75-100%,135,0.8,0.2
5420,0-25%,110,0.927273,0.081818
5420,25-50%,110,0.854545,0.072727
5420,50-75%,110,0.9,0.145455
5420,75-100%,111,0.954955,0.216216
5422,0-25%,103,0.699029,0.106796
5422,25-50%,103,0.786408,0.07767
5422,50-75%,103,0.825243,0.223301
5422,75-100%,103,0.708738,0.23301
5435,0-25%,90,0.711111,0.1
5435,25-50%,91,0.714286,0.142857
5435,50-75%,90,0.7,0.144444
5435,75-100%,91,0.824176,0.186813
5437,0-25%,73,0.863014,0.082192
5437,25-50%,74,0.797297,0.202703
5437,50-75%,74,0.716216,0.040541
5437,75-100%,74,0.864865,0.108108
5441,0-25%,70,0.828571,0.1
5441,25-50%,71,0.676056,0.169014
5441,50-75%,70,0.8,0.085714
5441,75-100%,71,0.929577,0.084507
5445,0-25%,83,0.879518,0.13253
5445,25-50%,84,0.845238,0.047619
5445,50-75%,83,0.783133,0.192771
5445,75-100%,84,0.833333,0.071429
5446,0-25%,124,0.774194,0.08871
5446,25-50%,125,0.88,0.088
5446,50-75%,125,0.864,0.088
5446,75-100%,125,0.904,0.176
5453,0-25%,154,0.805195,0.162338
5453,25-50%,155,0.787097,0.090323
5453,50-75%,155,0.735484,0.154839
5453,75-100%,155,0.754839,0.23871
5465,0-25%,61,0.639344,0.04918
5465,25-50%,61,0.721311,0.114754
5465,50-75%,61,0.918033,0.081967
5465,75-100%,61,0.885246,0.196721
5471,0-25%,71,0.859155,0.098592
5471,25-50%,72,0.930556,0.111111
5471,50-75%,72,0.847222,0.083333
5471,75-100%,72,0.847222,0.138889
5478,0-25%,83,0.891566,0.096386
5478,25-50%,84,1.0,0.119048
5478,50-75%,84,0.940476,0.083333
5478,75-100%,84,0.940476,0.190476
5481,0-25%,108,0.861111,0.055556
5481,25-50%,109,0.816514,0.110092
5481,50-75%,108,0.888889,0.092593
5481,75-100%,109,0.963303,0.12844
5487,0-25%,100,0.83,0.07
5487,25-50%,100,0.81,0.1
5487,50-75%,100,0.87,0.17
5487,75-100%,100,0.9,0.26
5489,0-25%,76,0.828947,0.118421
5489,25-50%,76,0.881579,0.013158
5489,50-75%,76,0.671053,0.118421
5489,75-100%,76,0.855263,0.197368
5493,0-25%,145,0.758621,0.172414
5493,25-50%,145,0.855172,0.082759
5493,50-75%,145,0.889655,0.17931
5493,75-100%,145,0.917241,0.17931
5500,0-25%,114,0.842105,0.105263
5500,25-50%,114,0.780702,0.087719
5500,50-75%,114,0.798246,0.201754
5500,75-100%,114,0.719298,0.219298
5502,0-25%,83,0.542169,0.096386
5502,25-50%,83,0.53012,0.144578
5502,50-75%,83,0.771084,0.072289
5502,75-100%,83,0.674699,0.26506
5504,0-25%,121,0.669421,0.157025
5504,25-50%,122,0.680328,0.081967
5504,50-75%,122,0.868852,0.172131
5504,75-100%,122,0.754098,0.229508
5517,0-25%,75,0.666667,0.226667
5517,25-50%,75,0.68,0.133333
5517,50-75%,75,0.466667,0.026667
5517,75-100%,76,0.447368,0.302632
5518,0-25%,115,0.686957,0.130435
5518,25-50%,116,0.887931,0.103448
5518,50-75%,115,0.852174,0.165217
5518,75-100%,116,0.741379,0.267241
5523,0-25%,106,0.603774,0.132075
5523,25-50%,106,0.830189,0.132075
5523,50-75%,106,0.745283,0.150943
5523,75-100%,106,0.877358,0.254717
5526,0-25%,128,0.796875,0.15625
5526,25-50%,128,0.882812,0.109375
5526,50-75%,128,0.773438,0.140625
5526,75-100%,128,0.820312,0.210938
5532,0-25%,122,0.934426,0.139344
5532,25-50%,122,0.893443,0.098361
5532,50-75%,122,0.909836,0.196721
5532,75-100%,123,0.861789,0.170732
5533,0-25%,116,0.922414,0.137931
5533,25-50%,116,0.663793,0.12069
5533,50-75%,116,0.724138,0.181034
5533,75-100%,117,0.675214,0.239316
5536,0-25%,62,0.532258,0.064516
5536,25-50%,63,0.492063,0.142857
5536,50-75%,63,0.428571,0.031746
5536,75-100%,63,0.650794,0.126984
5538,0-25%,83,0.746988,0.156627
5538,25-50%,84,0.880952,0.095238
5538,50-75%,84,0.880952,0.154762
5538,75-100%,84,0.940476,0.166667
5540,0-25%,99,0.848485,0.191919
5540,25-50%,99,0.959596,0.070707
5540,50-75%,99,0.939394,0.141414
5540,75-100%,99,0.818182,0.242424
5545,0-25%,153,0.830065,0.117647
5545,25-50%,153,0.745098,0.098039
5545,50-75%,153,0.803922,0.130719
5545,75-100%,153,0.679739,0.235294
5549,0-25%,60,0.85,0.05
5549,25-50%,61,0.983607,0.032787
5549,50-75%,60,0.9,0.066667
5549,75-100%,61,0.918033,0.081967
5550,0-25%,124,0.75,0.120968
5550,25-50%,125,0.848,0.104
5550,50-75%,124,0.91129,0.16129
5550,75-100%,125,0.848,0.208
5557,0-25%,77,0.675325,0.142857
5557,25-50%,78,0.782051,0.141026
5557,50-75%,77,0.805195,0.181818
5557,75-100%,78,0.858974,0.115385
5561,0-25%,76,0.907895,0.039474
5561,25-50%,76,0.907895,0.236842
5561,50-75%,76,0.960526,0.118421
5561,75-100%,77,0.831169,0.142857
5566,0-25%,114,0.77193,0.131579
5566,25-50%,114,0.859649,0.078947
5566,50-75%,114,0.780702,0.096491
5566,75-100%,115,0.617391,0.26087
5568,0-25%,55,0.727273,0.072727
5568,25-50%,55,0.927273,0.054545
5568,50-75%,55,0.963636,0.163636
5568,75-100%,56,0.910714,0.053571
5577,0-25%,97,0.216495,0.134021
5577,25-50%,97,0.443299,0.113402
5577,50-75%,97,0.597938,0.134021
5577,75-100%,98,0.571429,0.316327
5582,0-25%,130,0.676923,0.192308
5582,25-50%,131,0.816794,0.053435
5582,50-75%,131,0.770992,0.167939
5582,75-100%,131,0.870229,0.167939
5590,0-25%,113,0.867257,0.123894
5590,25-50%,114,0.719298,0.105263
5590,50-75%,113,0.814159,0.20354
5590,75-100%,114,0.877193,0.280702
5593,0-25%,102,0.77451,0.088235
5593,25-50%,103,0.650485,0.097087
5593,50-75%,103,0.76699,0.242718
5593,75-100%,103,0.708738,0.223301
5598,0-25%,139,0.798561,0.071942
5598,25-50%,140,0.778571,0.085714
5598,50-75%,140,0.842857,0.107143
5598,75-100%,140,0.671429,0.271429
5600,0-25%,67,0.835821,0.104478
5600,25-50%,67,0.850746,0.134328
5600,50-75%,67,0.850746,0.014925
5600,75-100%,67,0.820896,0.164179
5604,0-25%,100,0.69,0.12
5604,25-50%,100,0.79,0.13
5604,50-75%,100,0.81,0.09
5604,75-100%,100,0.89,0.14
5605,0-25%,83,0.819277,0.096386
5605,25-50%,84,0.797619,0.047619
5605,50-75%,84,0.761905,0.178571
5605,75-100%,84,0.642857,0.119048
5609,0-25%,148,0.918919,0.114865
5609,25-50%,148,0.945946,0.094595
5609,50-75%,148,0.898649,0.141892
5609,75-100%,148,0.817568,0.209459
5618,0-25%,138,0.956522,0.15942
5618,25-50%,138,0.942029,0.072464
5618,50-75%,138,0.905797,0.137681
5618,75-100%,139,0.964029,0.223022
5620,0-25%,134,0.716418,0.119403
5620,25-50%,135,0.888889,0.111111
5620,50-75%,134,0.813433,0.119403
5620,75-100%,135,0.762963,0.288889
5625,0-25%,97,0.989691,0.092784
5625,25-50%,97,0.979381,0.113402
5625,50-75%,97,0.969072,0.113402
5625,75-100%,98,0.979592,0.22449
5628,0-25%,126,0.698413,0.119048
5628,25-50%,127,0.787402,0.070866
5628,50-75%,127,0.826772,0.19685
5628,75-100%,127,0.661417,0.19685
5629,0-25%,99,0.737374,0.171717
5629,25-50%,99,0.858586,0.161616
5629,50-75%,99,0.666667,0.161616
5629,75-100%,99,0.525253,0.191919
5633,0-25%,115,0.686957,0.06087
5633,25-50%,115,0.721739,0.2
5633,50-75%,115,0.678261,0.095652
5633,75-100%,116,0.801724,0.284483
5634,0-25%,56,0.928571,0.035714
5634,25-50%,57,0.824561,0.017544
5634,50-75%,56,0.803571,0.142857
5634,75-100%,57,0.842105,0.087719
5637,0-25%,111,0.576577,0.117117
5637,25-50%,112,0.375,0.151786
5637,50-75%,111,0.432432,0.099099
5637,75-100%,112,0.517857,0.25
5640,0-25%,119,0.529412,0.042017
5640,25-50%,119,0.495798,0.109244
5640,50-75%,119,0.630252,0.134454
5640,75-100%,119,0.529412,0.243697
5641,0-25%,95,0.873684,0.063158
5641,25-50%,96,0.916667,0.1875
5641,50-75%,95,0.957895,0.063158
5641,75-100%,96,0.927083,0.114583
5642,0-25%,116,0.896552,0.060345
5642,25-50%,116,0.896552,0.12069
5642,50-75%,116,0.948276,0.112069
5642,75-100%,116,0.939655,0.215517
5649,0-25%,72,0.541667,0.055556
5649,25-50%,72,0.5,0.125
5649,50-75%,72,0.638889,0.111111
5649,75-100%,72,0.472222,0.291667
5650,0-25%,101,0.60396,0.059406
5650,25-50%,101,0.742574,0.148515
5650,50-75%,101,0.762376,0.069307
5650,75-100%,101,0.643564,0.227723
5653,0-25%,143,0.944056,0.146853
5653,25-50%,143,0.86014,0.104895
5653,50-75%,143,0.776224,0.195804
5653,75-100%,143,0.944056,0.27972
5656,0-25%,56,0.785714,0.053571
5656,25-50%,57,0.824561,0.017544
5656,50-75%,56,0.625,0.125
5656,75-100%,57,0.684211,0.105263
5677,0-25%,148,0.972973,0.189189
5677,25-50%,148,0.939189,0.074324
5677,50-75%,148,0.891892,0.155405
5677,75-100%,149,0.892617,0.221477
5697,0-25%,114,0.763158,0.149123
5697,25-50%,115,0.878261,0.113043
5697,50-75%,115,0.704348,0.121739
5697,75-100%,115,0.721739,0.252174
5704,0-25%,94,0.638298,0.106383
5704,25-50%,94,0.808511,0.117021
5704,50-75%,94,0.765957,0.085106
5704,75-100%,94,0.882979,0.138298
5709,0-25%,68,0.838235,0.044118
5709,25-50%,68,0.911765,0.147059
5709,50-75%,68,0.867647,0.132353
5709,75-100%,68,0.867647,0.191176
5711,0-25%,105,0.828571,0.07619
5711,25-50%,106,0.716981,0.113208
5711,50-75%,105,0.761905,0.142857
5711,75-100%,106,0.660377,0.235849
5716,0-25%,94,0.93617,0.138298
5716,25-50%,95,0.957895,0.084211
5716,50-75%,94,0.93617,0.085106
5716,75-100%,95,0.968421,0.273684
5718,0-25%,62,0.903226,0.096774
5718,25-50%,62,0.967742,0.096774
5718,50-75%,62,0.887097,0.193548
5718,75-100%,62,0.903226,0.209677
5721,0-25%,77,0.285714,0.207792
5721,25-50%,78,0.769231,0.012821
5721,50-75%,78,0.935897,0.141026
5721,75-100%,78,0.935897,0.166667
5725,0-25%,131,0.854962,0.076336
5725,25-50%,132,0.848485,0.128788
5725,50-75%,131,0.938931,0.083969
5725,75-100%,132,0.969697,0.265152
5726,0-25%,92,0.913043,0.097826
5726,25-50%,93,0.935484,0.129032
5726,50-75%,92,0.891304,0.097826
5726,75-100%,93,0.83871,0.053763
5729,0-25%,80,0.775,0.125
5729,25-50%,80,0.9875,0.0875
5729,50-75%,80,0.85,0.075
5729,75-100%,81,0.790123,0.209877
5733,0-25%,138,0.913043,0.166667
5733,25-50%,138,0.724638,0.123188
5733,50-75%,138,0.818841,0.137681
5733,75-100%,139,0.841727,0.230216
5738,0-25%,114,0.622807,0.087719
5738,25-50%,114,0.885965,0.192982
5738,50-75%,114,0.736842,0.070175
5738,75-100%,114,0.859649,0.149123
5753,0-25%,122,0.991803,0.147541
5753,25-50%,123,0.943089,0.121951
5753,50-75%,123,0.894309,0.211382
5753,75-100%,123,0.95935,0.243902
5758,0-25%,145,0.903448,0.144828
5758,25-50%,146,0.842466,0.10274
5758,50-75%,145,0.937931,0.165517
5758,75-100%,146,0.863014,0.253425
5760,0-25%,110,0.554545,0.136364
5760,25-50%,110,0.627273,0.081818
5760,50-75%,110,0.709091,0.109091
5760,75-100%,111,0.441441,0.243243
5762,0-25%,154,0.694805,0.123377
5762,25-50%,154,0.863636,0.116883
5762,50-75%,154,0.831169,0.181818
5762,75-100%,154,0.883117,0.25974
5765,0-25%,137,0.759124,0.124088
5765,25-50%,137,0.817518,0.109489
5765,50-75%,137,0.715328,0.109489
5765,75-100%,138,0.789855,0.268116
5768,0-25%,69,0.826087,0.057971
5768,25-50%,70,0.728571,0.1
5768,50-75%,70,0.671429,0.057143
5768,75-100%,70,0.814286,0.214286
5771,0-25%,137,0.766423,0.124088
5771,25-50%,138,0.695652,0.07971
5771,50-75%,138,0.652174,0.188406
5771,75-100%,138,0.521739,0.23913
5777,0-25%,58,0.827586,0.051724
5777,25-50%,59,0.915254,0.20339
5777,50-75%,58,0.896552,0.086207
5777,75-100%,59,0.779661,0.135593
5778,0-25%,78,0.782051,0.141026
5778,25-50%,79,0.848101,0.101266
5778,50-75%,78,0.858974,0.128205
5778,75-100%,79,0.683544,0.151899
5785,0-25%,113,0.59292,0.088496
5785,25-50%,114,0.859649,0.122807
5785,50-75%,113,0.929204,0.106195
5785,75-100%,114,0.833333,0.140351
5792,0-25%,99,0.535354,0.131313
5792,25-50%,100,0.73,0.12
5792,50-75%,99,0.707071,0.111111
5792,75-100%,100,0.79,0.24
5796,0-25%,83,0.843373,0.048193
5796,25-50%,83,0.975904,0.13253
5796,50-75%,83,0.927711,0.036145
5796,75-100%,84,0.845238,0.142857
5802,0-25%,128,0.578125,0.085938
5802,25-50%,129,0.782946,0.100775
5802,50-75%,128,0.6875,0.109375
5802,75-100%,129,0.736434,0.217054
5804,0-25%,104,0.711538,0.096154
5804,25-50%,105,0.733333,0.047619
5804,50-75%,104,0.769231,0.182692
5804,75-100%,105,0.895238,0.228571
5808,0-25%,139,0.935252,0.115108
5808,25-50%,139,0.899281,0.100719
5808,50-75%,139,0.956835,0.071942
5808,75-100%,140,0.935714,0.228571
5809,0-25%,65,0.784615,0.107692
5809,25-50%,66,0.606061,0.060606
5809,50-75%,65,0.584615,0.046154
5809,75-100%,66,0.530303,0.090909
5810,0-25%,83,0.927711,0.096386
5810,25-50%,84,0.952381,0.214286
5810,50-75%,84,0.964286,0.142857
5810,75-100%,84,0.916667,0.142857
5815,0-25%,111,0.693694,0.153153
5815,25-50%,111,0.846847,0.045045
5815,50-75%,111,0.774775,0.171171
5815,75-100%,112,0.669643,0.160714
5821,0-25%,99,0.757576,0.080808
5821,25-50%,100,0.82,0.11
5821,50-75%,99,0.939394,0.080808
5821,75-100%,100,0.99,0.24
5822,0-25%,75,0.746667,0.173333
5822,25-50%,75,0.813333,0.04
5822,50-75%,75,0.866667,0.2
5822,75-100%,76,0.894737,0.25
5824,0-25%,96,0.885417,0.09375
5824,25-50%,96,0.875,0.135417
5824,50-75%,96,0.927083,0.083333
5824,75-100%,96,0.916667,0.104167
5828,0-25%,94,0.585106,0.095745
5828,25-50%,95,0.484211,0.073684
5828,50-75%,95,0.831579,0.105263
5828,75-100%,95,0.663158,0.168421
5835,0-25%,109,0.926606,0.119266
5835,25-50%,109,0.917431,0.045872
5835,50-75%,109,0.93578,0.201835
5835,75-100%,110,0.827273,0.118182
5840,0-25%,98,0.387755,0.122449
5840,25-50%,99,0.575758,0.131313
5840,50-75%,98,0.5,0.173469
5840,75-100%,99,0.646465,0.232323
5850,0-25%,61,0.934426,0.098361
5850,25-50%,62,1.0,0.129032
5850,50-75%,61,0.918033,0.196721
5850,75-100%,62,0.935484,0.209677
5851,0-25%,137,0.569343,0.145985
5851,25-50%,137,0.569343,0.131387
5851,50-75%,137,0.693431,0.116788
5851,75-100%,137,0.50365,0.262774
5854,0-25%,165,0.678788,0.175758
5854,25-50%,166,0.849398,0.066265
5854,50-75%,166,0.777108,0.138554
5854,75-100%,166,0.759036,0.222892
5857,0-25%,133,0.721805,0.120301
5857,25-50%,134,0.813433,0.104478
5857,50-75%,133,0.834586,0.218045
5857,75-100%,134,0.776119,0.223881
5861,0-25%,134,0.626866,0.126866
5861,25-50%,135,0.8,0.118519
5861,50-75%,134,0.768657,0.141791
5861,75-100%,135,0.718519,0.2
5863,0-25%,108,0.898148,0.111111
5863,25-50%,109,0.93578,0.100917
5863,50-75%,108,0.87037,0.12037
5863,75-100%,109,0.807339,0.238532
5865,0-25%,114,0.72807,0.140351
5865,25-50%,114,0.640351,0.096491
5865,50-75%,114,0.649123,0.105263
5865,75-100%,115,0.573913,0.2
5876,0-25%,128,0.71875,0.09375
5876,25-50%,129,0.713178,0.077519
5876,50-75%,128,0.875,0.1875
5876,75-100%,129,0.813953,0.178295
5886,0-25%,72,1.0,0.097222
5886,25-50%,72,0.986111,0.111111
5886,50-75%,72,0.972222,0.138889
5886,75-100%,72,0.930556,0.097222
5888,0-25%,118,0.669492,0.09322
5888,25-50%,118,0.822034,0.127119
5888,50-75%,118,0.813559,0.194915
5888,75-100%,119,0.722689,0.201681
5897,0-25%,129,0.744186,0.147287
5897,25-50%,129,0.806202,0.093023
5897,50-75%,129,0.868217,0.162791
5897,75-100%,129,0.775194,0.217054
5905,0-25%,76,0.763158,0.118421
5905,25-50%,76,0.789474,0.039474
5905,50-75%,76,0.828947,0.328947
5905,75-100%,76,0.881579,0.171053
5908,0-25%,83,0.915663,0.072289
5908,25-50%,83,0.807229,0.048193
5908,50-75%,83,0.879518,0.253012
5908,75-100%,83,0.819277,0.216867
5912,0-25%,79,0.873418,0.202532
5912,25-50%,80,0.8625,0.0875
5912,50-75%,80,0.9375,0.175
5912,75-100%,80,0.8125,0.2
5914,0-25%,114,0.763158,0.105263
5914,25-50%,115,0.704348,0.113043
5914,50-75%,115,0.73913,0.208696
5914,75-100%,115,0.730435,0.208696
5919,0-25%,92,0.576087,0.108696
5919,25-50%,93,0.494624,0.172043
5919,50-75%,92,0.684783,0.119565
5919,75-100%,93,0.677419,0.129032
5921,0-25%,97,0.783505,0.113402
5921,25-50%,98,0.806122,0.081633
5921,50-75%,98,0.846939,0.214286
5921,75-100%,98,0.816327,0.234694
5923,0-25%,102,0.921569,0.088235
5923,25-50%,102,0.931373,0.04902
5923,50-75%,102,1.0,0.04902
5923,75-100%,102,0.921569,0.068627
5927,0-25%,121,0.760331,0.107438
5927,25-50%,122,0.803279,0.098361
5927,50-75%,122,0.795082,0.139344
5927,75-100%,122,0.852459,0.122951
5929,0-25%,62,0.725806,0.016129
5929,25-50%,62,0.854839,0.112903
5929,50-75%,62,0.903226,0.080645
5929,75-100%,62,0.822581,0.080645
5930,0-25%,95,0.642105,0.052632
5930,25-50%,95,0.736842,0.189474
